"","value","labl","lga","piped_sewer_system","septic_tank","pit_latrine","open_drain","flushed_elsewhere","ventilated_improved_pit_latrine","pit_latrine_with_slab","open_pit_latrine","composting_toilet","hanging_toilet_latrine","no_facilities"
"275",1417,"1417. UZO UWANI","Uzo Uwani",0,0,0,0,0,0,0,0,0,0,10
"276",1501,"1501. AKKO","Akko",1,0,0,0,0,0,0,0,0,0,0
"277",1502,"1502. BALANGA","Balanga",0,0,0,0,0,0,6,0,0,0,4
"278",1503,"1503. BILLIRI","Billiri",1,0,3,0,0,0,19,0,0,0,7
"279",1504,"1504. DUKKU","Dukku",0,0,0,0,0,0,0,0,0,0,0
"280",1505,"1505. FUNA KAYE","Funa Kaye",0,0,0,0,0,0,0,0,0,0,0
"281",1506,"1506. GOMBE","Gombe",3,0,11,0,0,0,29,1,0,0,0
"282",1507,"1507. KALTUNGO","Kaltungo",0,0,0,0,0,0,0,0,0,0,0
"283",1508,"1508. KWAMI","Kwami",0,0,0,0,0,0,3,1,0,0,6
"284",1509,"1509. NAFADA","Nafada",0,0,0,0,0,0,10,0,0,0,0
"285",1510,"1510. SHONGOM","Shongom",0,0,0,0,0,0,3,1,0,0,6
"286",1511,"1511. YAMALTU DEBA","Yamaltu Deba",0,0,0,0,0,0,19,0,0,0,1
"287",1601,"1601. ABOH MBAISE","Aboh Mbaise",3,0,0,0,0,0,7,0,0,0,0
"288",1602,"1602. AHIAZU MBAISE","Ahiazu Mbaise",0,1,0,0,0,0,7,1,0,0,1
"289",1603,"1603. EHIME MBANO","Ehime Mbano",0,0,0,0,0,0,0,0,0,0,0
"290",1604,"1604. EZINIHITTE MAISE","Ezinihitte Maise",0,0,0,0,0,0,0,0,0,0,0
"291",1605,"1605. IDEATO NORTH","Ideato North",0,4,2,0,0,0,3,0,0,0,1
"292",1606,"1606. IDEATO SOUTH","Ideato South",0,0,0,0,0,0,0,0,0,0,0
"293",1607,"1607. IHITTE UBOMA","Ihitte Uboma",2,0,0,0,0,0,8,0,0,0,0
"294",1608,"1608. IKEDURU","Ikeduru",3,1,0,0,0,0,6,0,0,0,0
"295",1609,"1609. ISIALA MBANO","Isiala Mbano",0,0,0,0,0,0,0,0,0,0,0
"296",1610,"1610. ISU","Isu",3,3,1,0,0,0,14,2,0,0,7
